track_id,track_name,artist_name,album_name,release_date,popularity,cover_url,spotify_url,artist_image_url,data_refresh_timestamp
1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,Overexposed Track By Track,2012-01-01,85,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,2025-11-13 07:12:33
2RsAajgo0g7bMCHxwH3Sk0,Come As You Are,Nirvana,Nevermind (Remastered),1991-09-26,83,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6,https://open.spotify.com/track/2RsAajgo0g7bMCHxwH3Sk0,https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b,2025-11-13 07:12:33
1LFM6gtGwcTe8CXX6y1IK2,Mundo Nuevo,ROSALÍA,LUX,2025-11-07,77,https://i.scdn.co/image/ab67616d0000b27393ee2e2f2dfb7de9befcc164,https://open.spotify.com/track/1LFM6gtGwcTe8CXX6y1IK2,https://i.scdn.co/image/ab6761610000e5eb9354faf80eb87961466edfbf,2025-11-13 07:12:33
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,Gangsta's Paradise,1995-11-07,86,https://i.scdn.co/image/ab67616d0000b2737438996f6fe67c59d75d4e43,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,2025-11-13 07:12:33
6qn9YLKt13AGvpq9jfO8py,We Found Love,Rihanna,Talk That Talk,2011-11-18,84,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac,2025-11-13 07:12:33
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,1985-06-01,87,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,https://i.scdn.co/image/ab6761610000e5eb0168ba8148c07c2cdeb7d067,2025-11-13 07:12:33
2OZVskV28xxJjjhQqKTLSg,PIXELATED KISSES,Joji,PIXELATED KISSES,2025-10-14,87,https://i.scdn.co/image/ab67616d0000b2734a66ee1a8cdd72378eb56765,https://open.spotify.com/track/2OZVskV28xxJjjhQqKTLSg,https://i.scdn.co/image/ab6761610000e5eb6e69601c22184c630a2d5e71,2025-11-13 07:12:33
3JsydWaf2Ev4ehaLUjj3SY,Confident,Justin Bieber,Journals,2014-05-13,86,https://i.scdn.co/image/ab67616d0000b27358ae8fddecbd2630005409c9,https://open.spotify.com/track/3JsydWaf2Ev4ehaLUjj3SY,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034,2025-11-13 07:12:33
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Don Omar,Meet The Orphans,2010-01-01,83,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://i.scdn.co/image/ab6761610000e5ebc9154bd840cd45e769c4e480,2025-11-13 07:12:33
7rl7ao5pb9BhvAzPdWStxi,Telephone,Lady Gaga,The Fame Monster (Deluxe Edition),2009-08-05,79,https://i.scdn.co/image/ab67616d0000b273bfd247438980173d32fd5ba8,https://open.spotify.com/track/7rl7ao5pb9BhvAzPdWStxi,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6,2025-11-13 07:12:33
0jWgAnTrNZmOGmqgvHhZEm,What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",1992-01-01,85,https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,https://i.scdn.co/image/ab6772690000c46cbee2b55099797d5537544010,2025-11-13 07:12:33
3oTuTpF1F3A7rEC6RKsMRz,Raindance (feat. Tems),Dave,The Boy Who Played the Harp,2025-10-23,84,https://i.scdn.co/image/ab67616d0000b273fecaa7826bb0cbe139a8cb83,https://open.spotify.com/track/3oTuTpF1F3A7rEC6RKsMRz,https://i.scdn.co/image/ab6761610000e5eb2f23c7e361cef62490f44057,2025-11-13 07:12:33
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,86,https://i.scdn.co/image/ab67616d0000b2732a182fb516812ea67edde2b8,https://open.spotify.com/track/1XBYiRV30ykHw5f4wm6qEn,https://i.scdn.co/image/ab6761610000e5ebb4b6c636210168996ad7d1fc,2025-11-13 07:12:33
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,85,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034,2025-11-13 07:12:33
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,86,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,2025-11-13 07:12:33
7o76sIawH9bRWsltcWfQfd,La Rumba Del Perdón,ROSALÍA,LUX,2025-11-07,77,https://i.scdn.co/image/ab67616d0000b27393ee2e2f2dfb7de9befcc164,https://open.spotify.com/track/7o76sIawH9bRWsltcWfQfd,https://i.scdn.co/image/ab6761610000e5eb9354faf80eb87961466edfbf,2025-11-13 07:12:33
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,Unreal Unearth: Unaired,2024-08-19,81,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a,2025-11-13 07:12:33
1appZ3c336FkPvCuywfmrs,CANCELLED!,Taylor Swift,The Life of a Showgirl,2025-10-03,91,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,https://open.spotify.com/track/1appZ3c336FkPvCuywfmrs,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,2025-11-13 07:12:33
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,I Love You So,2014-11-28,87,https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc,https://i.scdn.co/image/ab6761610000e5ebb63c6c447c9c484c6e87d509,2025-11-13 07:12:33
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,87,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,2025-11-13 07:12:33
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,85,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816,2025-11-13 07:12:33
5SruEBX3KpgpDvEcIuN53P,Baby Steps,Olivia Dean,The Art of Loving,2025-09-26,86,https://i.scdn.co/image/ab67616d0000b2739a336bfb6d40bbd90a507417,https://open.spotify.com/track/5SruEBX3KpgpDvEcIuN53P,https://i.scdn.co/image/ab6761610000e5eb5c7577ad44daeb7ce4b941a1,2025-11-13 07:12:33
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,All I Want Is You,2010-11-26,85,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,https://i.scdn.co/image/ab6761610000e5eb35e36c368fdcd26aba296bd1,2025-11-13 07:12:33
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,Lady Gaga,The Fame,2008-01-01,83,https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2,https://open.spotify.com/track/1dzQoRqT5ucxXVaAhTcT0J,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6,2025-11-13 07:12:33
10uxlzuPGekUTay2ZpZ4pR,Sauvignon Blanc,ROSALÍA,LUX,2025-11-07,77,https://i.scdn.co/image/ab67616d0000b27393ee2e2f2dfb7de9befcc164,https://open.spotify.com/track/10uxlzuPGekUTay2ZpZ4pR,https://i.scdn.co/image/ab6761610000e5eb9354faf80eb87961466edfbf,2025-11-13 07:12:33
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,Loud,2010-01-01,86,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac,2025-11-13 07:12:33
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,Closer,2016-07-29,86,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,https://i.scdn.co/image/ab6761610000e5eb4567279fac84a0375c3d819b,2025-11-13 07:12:33
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,After Hours (Deluxe),2020-03-20,84,https://i.scdn.co/image/ab67616d0000b273b5097b81179824803664aaaf,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,2025-11-13 07:12:33
3zEN0ii6s4DHHBpnTp3RP7,We Are The People,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),2008-10-03,86,https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7,https://i.scdn.co/image/ab6761610000e5ebc806f3e714afa21861e20248,2025-11-13 07:12:33
0cYohCh24y1aMjJmcS9RBl,For A Reason,Karan Aujla,P-POP CULTURE,2025-08-22,84,https://i.scdn.co/image/ab67616d0000b2733dc5639cb321a69b721bed92,https://open.spotify.com/track/0cYohCh24y1aMjJmcS9RBl,https://i.scdn.co/image/ab6761610000e5eb8a4c60d0eebe893f72e42979,2025-11-13 07:12:33
76FZM38RC8XaAjJ77CVTNe,Into You,Ariana Grande,Dangerous Woman,2016-04-01,83,https://i.scdn.co/image/ab67616d0000b27333342c57a9b2c4e04c97b3f5,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,2025-11-13 07:12:33
4ATO632UaFTJltxCbfBpHI,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP,ME POSTOU NO DAILY - FESTA DO BIG G,2025-09-25,84,https://i.scdn.co/image/ab67616d0000b273a7b0ff254af5e700c04737f9,https://open.spotify.com/track/4ATO632UaFTJltxCbfBpHI,https://i.scdn.co/image/ab6761610000e5eb1eafbb62aa29b68601be5d11,2025-11-13 07:12:33
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),1970-12-07,85,https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506,2025-11-13 07:12:33
